taxon,family,amf_emf,habit
Abies concolor,pinaceae,emf,tree
Abies grandis,pinaceae,emf,tree
Antennaria media,NA,NA,forb
Aquilegia caerula,NA,NA,forb
Arnica cordifolia,NA,NA,forb
Artemisia tridentata,NA,NA,shrub
Artemisia tridentate var. vaseyana,NA,NA,shrub
Astragalus alpinus,fabaceae,amf,forb
Astragalus kentrophyta cf. ,fabaceae,amf,forb
Astragalus kentrophyta var. tegetarius,fabaceae,amf,forb
Astragalus miser,fabaceae,amf,forb
Bistorta bistortoides,NA,NA,forb
Carex paysonis,NA,NA,graminoid
Carex scopulorum var. bracteosa,NA,NA,graminoid
Chamaenerion angustifolium var. angustifolium,NA,NA,forb
Delphinium occidentale,NA,NA,forb
Erigeron glacialis,NA,NA,forb
Eriogonum umbellatum,NA,NA,forb
Eriogonum umbellatum var. majus,NA,NA,forb
Eucephalus elegans,asteraceae,NA,forb
Eucephalus engelmannii,asteraceae,NA,forb
Fragaria virginiana,NA,amf,forb
Frasera speciosa,NA,NA,forb
Geranium viscossimum var. viscosissimum,NA,NA,forb
Helianthella uniflora,NA,NA,forb
Heracleum maximum,NA,NA,forb
Juncus balticus ,NA,NA,graminoid
Juncus parryi,NA,NA,graminoid
Juncus sp.,NA,NA,graminoid
Juniperus communis,NA,amf,shrub
Ligusticum filicinum,NA,NA,forb
Lupinus argenteus,NA,NA,forb
Lupinus argenteus var. argenteus,NA,NA,forb
Mahonia repens,NA,NA,shrub
Mertensiana ciliata var. ciliata,NA,NA,forb
Minuartia obtusiloba,NA,NA,forb
Osmorhiza depauperata,NA,NA,forb
Oxyria digyna,NA,NA,forb
Paxistima myrsinites,NA,NA,forb
Picea engelmannii,pinaceae,emf,tree
Pinus albicaulis,NA,emf,tree
Pinus contorta,NA,emf,tree
Poa pratensis,NA,NA,graminoid
Poa wheeleri,NA,NA,graminoid
Polemonium viscosum,NA,NA,forb
Populus angustifolium,NA,emf,tree
Populus tremulloides,NA,emf,tree
Potentilla diversifolia,NA,NA,forb
Potentilla diversifolia var. diversifolia,NA,NA,forb
Potentilla fruticosa,NA,NA,forb
Potentilla pulcherrima,NA,NA,forb
Primula parryi,NA,NA,forb
Pseudotsuga menziesii,NA,emf,tree
Ribes montigenum,NA,NA,shrub
Salix glauca var. villosa,NA,emf,shrub
Salix reticulata var. nana,NA,emf,shrub
Sedum lanceolatum,NA,NA,forb
Symphoricarpos albus,NA,NA,shrub
Symphyotrichum foliaceum var. apricum,NA,NA,forb
Thalictrum occidentale,NA,NA,forb
Trifolium parryi var. montanense,NA,amf,forb
Unknown fir,NA,emf,tree
Unknown pine,NA,emf,tree
Unknown Spruce,NA,emf,tree
Unknown spruce,NA,emf,tree
Vaccinium membranaceum 2_1_6,NA,emf,shrub
Vaccinium scoparium,NA,emf,shrub
Wyethia amplexicaulis,NA,NA,forb