instanceID,siteLabel,date,gpsLocation:Latitude,gpsLocation:Longitude,gpsLocation:Altitude,gpsLocation:Accuracy,sitePic,aspect,slope,SiteNotes,weather,startTime,device,daubPlots__daub_Xcoord,daubPlots__daub_Ycoord,daubPlots__denso,daubPlots__daubplotbare,daubPlots__daubplotltter,daubPlots__daubplotgraminoid,daubPlots__daubplotforb,daubPlots__daubplotshrub,daubPlots__daubplottree,daubPlots__depthOhorizon,daubPlots__depthMhorizon1,daubPlots__depthOhorizon2,daubPlots__depthMhorizon2,daubPlots__tempOhorizon,daubPlots__tempMineral,daubPlots__VegCompositionBlock__speciesCode,daubPlots__VegCompositionBlock__coverClass,densit__denso,vegRich_tree,vegRich_shrub,vegRich_forb,vegRich_graminoid,deadDown,plantMeasurements__plantStartTime,plantMeasurements__taxon,plantMeasurements__indiv,plantMeasurements__xcoord,plantMeasurements__ycoord,plantMeasurements__phenology,plantMeasurements__asochost,plantMeasurements__width,plantMeasurements__width2,plantMeasurements__height,plantMeasurements__height_sample,endTime
uuid:5dd4f563-fd9d-422c-be53-453d885526ee,2_1,2018-06-28T23:41:00.000Z,43.75210779,-110.9112128,2163.189674,8,null,West tosouthwest,10,Off trail a few hundred feet,partlycloudy,2018-06-28T23:41:15.315Z,C8:14:79:50:D6:8E,1,46,4,0,6,0,0,5,4,7,13,2,10,48.4,47.8,Sorbus sitchensis,5,2,2,7,null,null,30,2018-06-29T00:06:52.166Z,Osmorhiza,1,4,16,flowering,null,9,6005,16,14,2018-06-29T23:29:36.340Z
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Pinus contorta,6,1,,,,,,2018-06-29T00:17:29.136Z,Osmorhiza,2,5,15,flowering,null,10005,6005,22,13,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Vaccinium sp.,4,4,,,,,,2018-06-29T00:21:26.020Z,Osmo,3,5,14,flowering,null,7,6,24,15,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Boxwood,2,4,,,,,,2018-06-29T00:24:04.096Z,Osmo,4,2,22,flowering,null,5,4,17,10,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Abies sp,1,4,,,,,,2018-06-29T00:27:31.550Z,Osmo,5,7,25,flowering,null,9,6,20,13,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Unknown graminoid carex,3,3,,,,,,2018-06-29T00:31:30.017Z,Osmo,6,8005,25,flowering,null,8,5,19,13,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,null,null,0,,,,,,2018-06-29T00:35:50.021Z,Osmo,7,10,24,flowering,null,6,4,10,7,
,,,,,,,,,,,,,,50,22,4,0,5,1,0,4,6,5,11,4,8,49,48.3,Vaccinium,5,0,,,,,,2018-06-29T00:36:38.037Z,Osmo,8,10,25,flowering,null,8,5,17,12,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Pinus contorta,6,4,,,,,,2018-06-29T00:42:46.543Z,Osmo,9,10,25,flowering,null,8,4,20,16,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Epilobium angustifolium,1,3,,,,,,2018-06-29T00:43:26.716Z,Osmo,10,9,26,flowering,null,6,10,29,16,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Carex,2,1,,,,,,2018-06-29T00:44:23.156Z,Pico,1,9,8,vegetative,null,53,30,130,90,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Unknown forb arnica cf,1,2,,,,,,2018-06-29T14:16:05.026Z,Pico,2,1,50,vegetative,null,2300046,210,800,250,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Boxwood,2,4,,,,,,2018-06-29T14:29:58.487Z,Pico,3,15,50,fruiting,null,115004,90,200,150,
,,,,,,,,,,,,,,11,50,4,1,5,1,0,5,5,4,14,5,10,46.8,48.1,A ies sp,2,0,,,,,,2018-06-29T14:40:36.823Z,Pico,4,28,45,fruiting,null,3300035,310,450,215,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Symphoricarpus,2,2,,,,,,2018-06-29T14:48:38.459Z,Pivo,5,16,27,fruiting,null,1700042,150,1500,200,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Csrex,5,4,,,,,,2018-06-29T14:53:21.088Z,Pico,6,21,0,fruiting,null,80009,78,218,110,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Vaccinium,4,4,,,,,,2018-06-29T15:09:12.663Z,Pi o,7,2,26,fruiting,null,2100045,200,900,220,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Arnica coedifolia,2,0,,,,,,2018-06-29T15:16:18.780Z,Pico,8,1,19,fruiting,null,4100066,390,2150,240,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sorbus sitchensis,1,2,,,,,,2018-06-29T15:25:48.289Z,Pico,9,33,23,fruiting,null,1100023,120,500,230,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Pinus contorta,6,0,,,,,,2018-06-29T15:32:31.784Z,Pico,10,42,21,vegetative,null,1100015,100,410,210,
,,,,,,,,,,,,,,8,46,4,0,6,1,2,1,6,6,15,9,14,46.4,46.6,Sorbus sitchensis,5,,,,,,,2018-06-29T15:38:09.967Z,Boxwood 2_1_3,1,21,24,vegetative,null,45,28,30,25,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Picea engelmanni,6,,,,,,,2018-06-29T15:51:17.902Z,Boxwood,2,11,50,vegetative,null,15,10,19,18,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Pinus contorta,6,,,,,,,2018-06-29T15:54:23.588Z,Boxwood,3,26,25,vegetative,null,53,44,22,20,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bromus,2,,,,,,,2018-06-29T15:59:38.287Z,Boxwood,4,19,22,vegetative,null,17,14,20,18,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Carex,2,,,,,,,2018-06-29T16:04:49.895Z,Boxwood,5,40,46,vegetative,null,13,8,15,10,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Osmorhiza,3,,,,,,,2018-06-29T16:10:02.500Z,Boxwood,6,31,5,vegetative,null,10,11,14,12,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Va""inium",3,,,,,,,2018-06-29T16:14:41.458Z,Boxwood,7,13,15,vegetative,null,23,20,22,18,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Unknown forb,1,,,,,,,2018-06-29T16:20:01.181Z,Boxwood,8,3,17,vegetative,null,12,11,20,14,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2018-06-29T16:23:48.998Z,Boxwood,9,30,36,vegetative,null,28,12,19,12,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2018-06-29T16:30:30.843Z,Boxwood,10,6,4,vegetative,null,10,14,39,30,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2018-06-29T16:36:08.106Z,Abies concoloe cf  2_1_4 SHOULD be Picea engelmannii,1,24,33,vegetative,null,2500075,230,2160,100,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2018-06-29T16:54:09.611Z,Abco,2,19,7,vegetative,null,4000084,450,1960,180,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2018-06-29T16:59:04.353Z,Abco,3,26,20,vegetative,null,320,230,960,140,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2018-06-29T17:10:09.805Z,Abco,4,23,36,vegetative,null,230,300,1560,170,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2018-06-29T17:14:02.892Z,Abco,null,null,null,vegetative,null,null,null,null,null,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2018-06-29T17:27:57.641Z,Abco,5,35,48,vegetative,null,2000028,150,660,160,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2018-06-29T17:34:42.446Z,Abco,6,30,47,vegetative,null,3000049,250,1160,170,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2018-06-29T17:46:41.385Z,Abco,7,50,9,vegetative,null,2100047,200,860,125,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2018-06-29T17:54:25.605Z,Abco,8,47,50,vegetative,null,2100020,160,340,120,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2018-06-29T18:00:11.123Z,Abco,9,40,35,vegetative,null,3500063,300,1660,180,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2018-06-29T18:07:08.116Z,Abco,10,27,37,vegetative,null,2200045,130,1090,150,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2018-06-29T18:14:28.425Z,Symph cf 2_1_5,1,23,26,vegetative,null,158,130,78,84,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2018-06-29T19:10:58.859Z,Symph,2,3,25,vegetative,null,103,80,95,85,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2018-06-29T19:16:07.894Z,Symph,3,20,37,flowering,null,53,49,146,124,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2018-06-29T19:21:57.253Z,Symph,4,6,45,vegetative,null,146,70,110,60,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2018-06-29T19:26:48.982Z,Symph,5,8,14,flowering,null,85,83,100,60,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2018-06-29T19:31:49.960Z,Symph,6,18,47,flowering,null,88,74,90,52,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2018-06-29T19:39:10.167Z,Symph,7,38,3,vegetative,null,40,36,60,50,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2018-06-29T19:45:29.111Z,Symph,8,38,34,vegetative,null,208,100,100,63,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2018-06-29T19:50:35.555Z,Symph,9,21,50,flowering,null,87,100,120,100,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2018-06-29T19:56:05.210Z,Symph,10,29,43,vegetative,null,93,41,62,60,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2018-06-29T20:01:09.208Z,Vaccinium 2_1_6,1,46,9,vegetative,null,null,null,null,50,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2018-06-29T20:09:36.915Z,Vaccinium,2,48,46,fruiting,null,116,73,55,45,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2018-06-29T20:17:39.815Z,Vaccinium,3,32,6,fruiting,null,null,null,65,44,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2018-06-29T20:23:20.403Z,Vaccinium,4,30,24,fruiting,null,110,67,79,54,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2018-06-29T20:28:51.328Z,Vaccinium,5,42,34,fruiting,null,55,43,45,40,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2018-06-29T20:33:49.534Z,Vaccinium,6,24,10,vegetative,null,null,null,54,50,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2018-06-29T20:38:39.928Z,Vaccinium,7,40,2,vegetative,null,14,17,16,14,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2018-06-29T20:43:13.536Z,Vaccinium,8,23,34,vegetative,null,27,28,24,24,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2018-06-29T20:50:59.158Z,Vaccinium,9,4,24,fruiting,null,null,null,69,63,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2018-06-29T21:44:55.645Z,"Va""Vaccinium",10,8,27,fruiting,null,null,null,54,53,